,24h_CON,24h_CON,24h_CON,24h_AA,24h_AA,24h_AA
,#1,#2,#3,#4,#5,#6
PC(44:1),0.019914952,0.014772711,0.019452737,0.004481717,0.003554593,0.003881506
PC(46:10),0.000767008,0.000515945,0.00080727,0.05654759,0.04629073,0.047748925
PC(46:8),0.00563986,0.004766937,0.005544084,0.386577838,0.336925523,0.345755238
PC(46:6),0.023274018,0.012554671,0.018663478,0.015440738,0.015966224,0.01567475
PC(46:5),0.015081952,0.016727144,0.014485997,0.052729759,0.050579313,0.056086842
PC(48:8),0.000477487,0.00021927,0.00068245,0.077552764,0.068253662,0.068898753
SM(d18:1/12:1),0.000572451,0.000372671,0.000182204,0.00094307,0.000130559,0.002680421
SM(d18:1/14:0),0.10251692,0.037841336,0.035501291,0.077424975,0.104120237,0.09502306
SM(d18:1/16:1),0.245101697,0.127376383,0.114319837,0.162760488,0.182022198,0.22536938
SM(d18:1/16:0),4.235777017,2.712870625,2.080713074,0.298149993,2.208585359,4.210437817
SM(d18:0/16:0),0.152050049,0.203753568,0.181787189,0.298948155,0.440750022,0.527772256
SM(d18:1/18:1),0.051942427,0.04248397,0.035139157,0.047599982,0.059538142,0.063826433
SM(d18:1/18:0),0.002925281,0.00230411,0.00176394,0.002550443,0.000866883,0.002920273
SM(d18:1/18:0),0.223393881,0.177308058,0.14824941,0.101546838,0.103389442,0.123921376
SM(d18:1/20:1),0.017550581,0.013986957,0.012817491,0.013893484,0.012551748,0.015799756
SM(d18:1/20:0),0.074864985,0.061448141,0.054846442,0.0623759,0.05314906,0.062985139
SM(d18:1/22:1),0.218840282,0.177848153,0.171912721,0.214998785,0.182743921,0.203013171
SM(d18:1/22:0),0.183877281,0.28963561,0.283215029,0.433564809,0.36587011,0.401653688
SM(d18:1/24:4),0.005223818,0.00391205,0.003932531,0.106176841,0.066836041,0.090715529
SM(d18:1/24:3),0.01453859,0.016881717,0.020109747,0.041020486,0.018545452,0.037050181
SM(d18:1/24:2),0.313234911,0.275283931,0.257807142,0.37300651,0.262620117,0.293972851
SM(d18:1/24:1),1.430222021,1.235020002,1.307315151,1.500949619,1.370106694,1.373057045
SM(d18:1/24:0),0.032534056,0.034415067,0.025652066,0.0277011,0.030674604,0.032026656
SM(d18:1/26:4),0.000212633,0.000230816,0.0001063165,0.014171811,0.014860801,0.011803876
BMP(30:0),0.012427346,0.00874855,0.01033879,0.002611178,0.002360393,0.002348681
BMP(32:2),0.058653331,0.045177187,0.059280699,0.011492385,0.010800912,0.011063444
BMP(34:3),0.104347051,0.082260622,0.106909515,0.028803435,0.033706132,0.028334732
BMP(34:2),0.945889124,0.741408425,0.987849713,0.290570962,0.306108877,0.279856983
